,affiliation-city,affiliation-country
2000,Oxford,Cambodia
2001,Rostov-on-Don,Russian Federation
2002,Fort Portal,Uganda
2003,Konya,Turkey
2004,Pavia,Spain
2005,Jette,Belgium
2006,Launceston,Australia
2007,Thrissur,India
2008,Xining,China
2009,Pathumwan,Thailand
2010,Miri,Malaysia
2011,Kolhapur,India
2012,Kearney,United States
2013,Taiping,Malaysia
2014,Misicevo,Serbia
2015,Kalisizo,Uganda
2016,Kingston,Canada
2017,Jupiter,United States
2018,Culver City,United States
2019,Majadahonda,Spain
2020,Flagstaff,United States
2021,Sari,Iran
2022,Alor Setar,Malaysia
2023,San Cristobal de las Casas,Mexico
2024,Itarema,Brazil
2025,Monsenhor Tabosa,Brazil
2026,Burlington,United States
2027,Onsala,Sweden
2028,Kadapa,India
2029,Nice,France
2030,Marietta,United States
2031,Stockton on Tees,United Kingdom
2032,Nainital,India
2033,Chicago IL,United States
2034,Whitworth Park,United Kingdom
2035,Hinxton,United Kingdom
2036,Rajpura,India
2037,South Jakarta,Indonesia
2038,Klecany,Czech Republic
2039,Chitral,Pakistan
2040,Liergues,France
2041,Midlothian,United Kingdom
2042,Hospitalet de Llobregat,Spain
2043,Mississauga,Canada
2044,Cagliari,Italy
2045,Ongole,India
2046,Kanchipuram,India
2047,Imizu,Japan
2048,Barceona,Spain
2049,North Shields,United Kingdom
2050,Birtinya,Australia
2051,Sippy Downs,Australia
2052,Thiruvananthapuram,India
2053,,Trinidad and Tobago
2054,Daugavpils,Latvia
2055,Trnava,Slovakia
2056,Rio,Greece
2057,Iztapalapa,Mexico
2058,Fort Belvoir,United States
2059,Klerksdorp,South Africa
2060,Hlabisa,South Africa
2061,Keelung,Taiwan
2062,Kaneohe,United States
2063,Kunigami,Japan
2064,Nago,Japan
2065,Thuwal,Saudi Arabia
2066,Sandakan,Malaysia
2067,Sausalito,United States
2068,Korolevu,Fiji
2069,Yibin,China
2070,Meishan,China
2071,Palangka Raya,Indonesia
2072,Kazan,Russian Federation
2073,Kozhikode,India
2074,Hamamatsu,Japan
2075,List,Germany
2076,Nakhon Nayok,Thailand
2077,Nakorn Nayok,Thailand
2078,Taxila,Pakistan
2079,Mathura,India
2080,Hengyang,China
2081,Dongguan,China
2082,Miao-li,Taiwan
2083,Wuyishan,China
2084,Al Kharj,Saudi Arabia
2085,Taif,Saudi Arabia
2086,Liaocheng,China
2087,Amritsar,India
2088,Ohkawa,Japan
2089,Campobasso,Italy
2090,Middlesex,United Kingdom
2091,Popayan,Colombia
2092,Mississippi State,United States
2093,Sopron,Hungary
2094,Marne-la-Vallee,France
2095,Luneburg,Germany
2096,Gqeberha,South Africa
2097,Valdivia,Chile
2098,Hod HaSharon,Israel
2099,Karur,India
2100,Erode,India
2101,Amaravati,India
2102,Sathyamangalam,India
2103,Richland,United States
2104,M'sila,Algeria
2105,San'yo-Onoda,Japan
2106,Banphaeo,Thailand
2107,Taungoo,Myanmar
2108,Minas Gerais,Brazil
2109,Nizwa,Oman
2110,Athens,United States
2111,Selinsgrove,United States
2112,Thana,India
2113,Elmhurst,United States
2114,Williamsburg,United States
2115,Cherry Hill,United States
2116,Kelantan,Malaysia
2117,Hualien,Taiwan
2118,Indralaya,Indonesia
2119,Marbella,Spain
2120,Satun,Thailand
2121,Togane,Japan
2122,Matamoros,Mexico
