,original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,name,street,county_code,postcode,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
0,0,Stanford,United States,37.427467,-122.1702445,"Stanford (Stanford), CA, United States of America",,,Stanford,,,,,Stanford,Santa Clara County,California,CA,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1,1,Bangkok,Thailand,13.7524938,100.4935089,"Bangkok, Bangkok 10200, Thailand",,,Bangkok,,,10200,,Bangkok,,Bangkok,,Thailand,th,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2,2,Palo Alto,United States,37.4443293,-122.1598465,"Palo Alto, CA, United States of America",,,,,,,,Palo Alto,Santa Clara County,California,CA,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3,3,Baltimore,United States,39.2908816,-76.610759,"Baltimore, MD, United States of America",,,,,,,,Baltimore,,Maryland,MD,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4,4,,,,,,,,,,,,,,,,,,,,,,,
5,5,Hirosaki,Japan,40.6030543,140.4640389,"Hirosaki, Japan",,,,,,,,Hirosaki,Aomori Prefecture,,,Japan,jp,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
6,6,Pathum Thani,Thailand,14.0203964,100.5340426,"Pathum Thani Town Municipality, Pathum Thani Province, Thailand",,,,,,,,Pathum Thani Town Municipality,Mueang Pathum Thani District,Pathum Thani Province,,Thailand,th,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
7,7,Nagoya,Japan,35.1851045,136.8998438,"Nagoya, Japan",,,,,,,,Nagoya,Aichi Prefecture,,,Japan,jp,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8,8,Nakhon Ratchasima,Thailand,14.9747339,102.0981161,"Nakhon Ratchasima, Nakhon Ratchasima Province 30000, Thailand",,,Nakhon Ratchasima,,,30000,,Nakhon Ratchasima,,Nakhon Ratchasima Province,,Thailand,th,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9,9,North Bangkok,Thailand,13.7183216,100.5176805,"Sathon Nuea Road, Bang Rak District, Bangkok 10500, Thailand",,,Sathon Nuea Road,Sathon Nuea Road,,10500,Bang Rak District,Bangkok,,Bangkok,,Thailand,th,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10,10,Fort Collins,United States,40.5871782,-105.0770113,"Fort Collins, CO, United States of America",,,,,,,,Fort Collins,Larimer County,Colorado,CO,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11,11,Houston,United States,29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,,,,Houston,Harris County,Texas,TX,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12,12,Milwaukee,United States,43.0349931,-87.922497,"Milwaukee, WI, United States of America",,,,,,,,Milwaukee,Milwaukee County,Wisconsin,WI,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13,13,Guangzhou,China,23.1301964,113.2592945,"Guangzhou City, Guangdong Province, China",,,,,,,,Guangzhou City,,Guangdong Province,,China,cn,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
14,14,Qinhuangdao,China,39.9395724,119.5894129,"Qinhuangdao, Hebei, China",,,,,,,,Qinhuangdao,,Hebei,,China,cn,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
15,15,Rio de Janeiro,Brazil,-22.9110137,-43.2093727,"Rio de Janeiro, RJ, Brazil",,,,,,,,Rio de Janeiro,Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RJ,Brazil,br,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
16,16,Mount Hamilton,United States,37.3418834,-121.6430017,"Mount Hamilton, Santa Clara County, CA 95140, United States of America",,,Mount Hamilton,,,95140,,,Santa Clara County,California,CA,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
17,17,Abu Dhabi,United Arab Emirates,24.4538352,54.3774014,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",,,,,,,,Abu Dhabi,,Abu Dhabi Emirate,,United Arab Emirates,ae,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
18,18,Santa Maria,Brazil,-29.6860512,-53.8069214,"Santa Maria, RS, Brazil",,,,,,,,Santa Maria,Região Geográfica Intermediária de Santa Maria,Rio Grande do Sul,RS,Brazil,br,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
19,19,Madison,United States,43.074761,-89.3837613,"Madison, WI, United States of America",,,,,,,,Madison,Dane County,Wisconsin,WI,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
20,20,New York,United States,40.7127281,-74.0060152,"New York, NY, United States of America",,,,,,,,New York,,New York,NY,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
21,21,Oxford,United Kingdom,51.7520131,-1.2578499,"Oxford, ENG, United Kingdom",,,,,OXF,,,Oxford,Oxfordshire,England,ENG,United Kingdom,gb,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
22,22,Portsmouth,United Kingdom,50.800031,-1.0906023,"yes, Portsmouth, ENG, United Kingdom",yes,,,,,,,Portsmouth,,England,ENG,United Kingdom,gb,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
23,23,Beijing,China,39.9057136,116.3912972,"100010 Beijing, China",,,Beijing,,,100010,,Beijing,,Beijing,,China,cn,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
24,24,Tokyo,Japan,35.6821936,139.762221,"Tokyo, Japan",,,,,,,,Tokyo,,,,Japan,jp,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
25,25,Santa Cruz,United States,36.9743626,-122.0294673,"Santa Cruz, CA, United States of America",,,,,,,,Santa Cruz,Santa Cruz County,California,CA,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
26,26,Cambridge,United States,42.3655767,-71.1040018,"Cambridge, MA, United States of America",,,,,,,,Cambridge,Middlesex County,Massachusetts,MA,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
27,27,Lexington,United States,38.0464066,-84.4970393,"Lexington, KY, United States of America",,,,,,,,Lexington,Fayette County,Kentucky,KY,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
28,28,Sunspot,United States,32.7892103,-105.81857,"Sunspot (Sunspot), NM 88349, United States of America",,,Sunspot,,,88349,,Sunspot,Otero County,New Mexico,NM,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
29,29,Austin,United States,30.2711286,-97.7436995,"Austin, TX, United States of America",,,,,,,,Austin,Travis County,Texas,TX,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
30,30,Milton Keynes,United Kingdom,52.0406502,-0.7594092,"Milton Keynes, ENG, United Kingdom",,,Milton Keynes,,,,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
31,31,Moscow,Russian Federation,55.7505412,37.6174782,"Moscow, Russia",,,Moscow,,,,,Moscow,,Moscow,,Russia,ru,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
32,32,Princeton,United States,40.3496953,-74.6597376,"Princeton, NJ, United States of America",,,,,,,,Princeton,Mercer County,New Jersey,NJ,United States,us,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
33,33,,Thailand,14.8971921,100.83273,Thailand,,,,,,,,,,,,Thailand,th,1.0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
