original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,street,housenumber,name,postcode,suburb,district,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
1500,Temple City,United States,34.1082994,-118.0577568,"Temple City, CA 91780, United States of America",,,,91780,,,Temple City,Los Angeles County,,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1501,Caldes de Montbui,Spain,41.632265,2.1676442,"08140 Caldes de Montbui, Spain",,,,08140,,,Caldes de Montbui,Vallès Oriental,B,Catalonia,,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1502,Ciudad Victoria,Mexico,23.7389846,-99.1441352,"87000 Ciudad Victoria, TAM, Mexico",,,Ciudad Victoria,87000,,,Ciudad Victoria,Victoria,,Tamaulipas,TAM,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1503,Charlottetown,Canada,46.234953,-63.132935,"Charlottetown, PE, Canada",,,,,,,Charlottetown,Queens County,,Prince Edward Island,PE,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1504,Bradford,United Kingdom,53.7944229,-1.7519186,"Bradford, ENG, United Kingdom",,,,,,,Bradford,West Yorkshire,,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1505,Toyota,Japan,35.15195,137.301478,"Toyota, Japan",,,,,,,Toyota,Aichi Prefecture,,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1506,Yenchao,Taiwan,22.801503,120.393676,"Yanchao, Kaohsiung, Taiwan",,,,,,,Yanchao,Kaohsiung City,,Kaohsiung,,Taiwan,tw,0.7714285714285714,0.7714285714285714,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1507,Alexandria,Egypt,31.1991806,29.8951716,"Alexandria, 21519, Egypt",,,Alexandria,21519,,,Alexandria,,,Alexandria,,Egypt,eg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1508,Asyut,Egypt,27.1832822,31.1853836,"Asyut, Egypt",,,Asyut,,,,Asyut,,,Asyut,,Egypt,eg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1509,Behshahr,Iran,36.6911785,53.543415,"Behshahr, بخش مرکزی شهرستان بهشهر, شهر بهشهر, Mazandaran Province, Iran",,,Behshahr,48516-67988,,بخش مرکزی شهرستان بهشهر,شهر بهشهر,Behshahr County,,Mazandaran Province,,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1510,Batticoloa,Sri Lanka,,,,,,,,,,,,,,,,,,,,,
1511,Kayseri,Turkey,38.7219011,35.4873214,"38015 Melikgazi (Kayseri), Turkey",,,Kayseri,38015,,,Kayseri,Kayseri,,Central Anatolia Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1512,Yozgat,Turkey,39.8221974,34.8080972,"66100 Yozgat, Turkey",,,Yozgat,66100,,,Yozgat,Yozgat Merkez,,Central Anatolia Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1513,Punjab,India,30.9293211,75.5004841,"Punjab, India",,,,,,,,,,Punjab,PB,India,in,0.5,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1514,California,United States,38.9186766,-84.2635472,"California, KY, United States of America",,,,,,,California,Campbell County,,Kentucky,KY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1515,Morelia,Mexico,19.7027116,-101.1923818,"58000 Morelia, MIC, Mexico",,,Morelia,58000,,,Morelia,Morelia,,Michoacán,,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1516,Pachuca,Mexico,20.1165413,-98.7413535,"42040 Pachuca, HID, Mexico",,,Pachuca,42040,,,Pachuca,Pachuca de Soto,,Hidalgo,HID,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1517,Tuxtla Gutierrez,Mexico,16.753801,-93.115959,"29019 Tuxtla Gutiérrez, CHP, Mexico",,,Tuxtla Gutiérrez,29019,,,Tuxtla Gutiérrez,Tuxtla Gutiérrez,,Chiapas,CHP,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1518,Houghton,United States,40.7845657,-91.6030045,"Houghton, IA, United States of America",,,,,,,Houghton,Lee County,,Iowa,IA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1519,Los Alamos,United States,35.88137,-106.298959,"Los Alamos, NM 87544, United States of America",,,,87544,,,Los Alamos,Los Alamos County,,New Mexico,NM,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1520,Jiaxing,China,30.7474425,120.7510971,"Jiaxing, Zhejiang, China",,,,,,,Jiaxing,,,Zhejiang,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1521,Aarau,Switzerland,47.3927146,8.0444448,"5000 Aarau, Switzerland",,,,5000,,,Aarau,Bezirk Aarau,,Aargau,AG,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1522,Khannayao,Thailand,15.512883,101.301707,Thailand,,,Thailand,,,,,,,,,Thailand,th,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1523,Marshfield,United States,44.6688524,-90.1717987,"Marshfield, WI 54449, United States of America",,,,54449,,,Marshfield,Wood County,,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1524,Trondheim,Norway,63.4304475,10.3952118,"Trondheim, Norway",,,,,,,Trondheim,Trøndelag,,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1525,Kiriat Ono,Israel,52.431515,13.36106,"Kiriat-Bialik-Sportanlage, 12249 Berlin, Germany",Kiriat-Bialik-Sportanlage,,,12249,Lankwitz,Berlin,Berlin,,,Berlin,BE,Germany,de,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1526,Zhytomyr,Ukraine,50.2601065,28.6696281,"Zhytomyr Raion, Zhytomyr, Zhytomyr Oblast, Ukraine",,,Zhytomyr,,,Zhytomyr Raion,Zhytomyr,,,Zhytomyr Oblast,,Ukraine,ua,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1527,Gaza,Palestine,31.4690473,34.3993565,"Palestine, Az-Zahra, Palestinian Territory",Palestine,,Palestine,,,Az-Zahra,Az-Zahra,Gaza Governorate,,Gaza Strip,,Palestinian Territory,ps,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1528,Skopje,North Macedonia,41.9961816,21.4319213,"Skopje, Skopje Region, North Macedonia",,,,,,,Skopje,City of Skopje,,Skopje Region,,North Macedonia,mk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1529,Tartu,Estonia,58.3801207,26.72245,"Tartu, Estonia",,,,,,,Tartu,Tartu maakond,,,,Estonia,ee,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1530,Cholula,Mexico,20.743333,-98.502222,"Cholula (Cholula), HID, Mexico",,,Cholula,,,,Cholula,Tianguistengo,,Hidalgo,HID,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1531,Naukka,Nigeria,9.404974,7.607418,Nigeria,,,Nigeria,,,,,,,,,Nigeria,ng,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1532,Olsztyn WM,Poland,53.7766839,20.476507,"Olsztyn, Warmian-Masurian Voivodeship, Poland",,,,,,,Olsztyn,,,Warmian-Masurian Voivodeship,,Poland,pl,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
