original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,housenumber,street,suburb,postcode,county_code,district,state_code,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
2000,Oxford,Cambodia,12.635759,104.480812,Cambodia,Cambodia,,,,,,,,,,,Cambodia,kh,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2001,Rostov-on-Don,Russian Federation,47.2216548,39.7096061,"Rostov-on-Don, Rostov Oblast, Russia",Rostov-on-Don,,,,,,,,Rostov-on-Don,Rostov-on-Don,Rostov Oblast,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2002,Fort Portal,Uganda,0.6561907,30.2779432,"Fort Portal City, Western Region, Uganda",,,,,,,,,Fort Portal City,,Western Region,Uganda,ug,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2003,Konya,Turkey,37.872734,32.4924376,"42200 Selçuklu (Konya), Turkey",Konya,,,,42200,,,,Konya,Konya,Central Anatolia Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2004,Pavia,Spain,41.5983893,1.347568,"25213 Pavia (Talavera), Spain",Pavia,,,,25213,,,,Talavera,Segarra,Catalonia,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2005,Jette,Belgium,50.8759585,4.3245702,"1090 Jette, Belgium",,,,,1090,,,,Jette,Brussels-Capital,Brussels-Capital,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2006,Launceston,Australia,-41.4340813,147.1373496,"Launceston, TAS, Australia",,,,,,,,TAS,Launceston,,Tasmania,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2007,Thrissur,India,10.5270099,76.214621,"Thrissur - 680001, KL, India",Thrissur,,,,680001,,,KL,Thrissur,Thrissur,Kerala,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2008,Xining,China,36.617331,101.7761976,"Chengzhong District, Xining, Qinghai, China",Xining,,,,810000,,Chengzhong District,,Xining,,Qinghai,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2009,Pathumwan,Thailand,13.746549,100.519462,"Pathum Wan district, Bangkok, Thailand",Pathum Wan district,,,Pathum Wan district,,,,,Bangkok,,Bangkok,Thailand,th,0.5294117647058824,0.5294117647058824,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2010,Miri,Malaysia,4.392739,113.9880255,"98000 Miri, Sarawak, Malaysia",Miri,,,,98000,,,,Miri,Miri,Sarawak,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
