original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,street,suburb,district,postcode,city,county_code,state,state_code,county,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
3500,Geoje,South Korea,34.8804677,128.621207,"Geoje-si, South Korea",,,,,,Geoje-si,,,,South Gyeongsang,South Korea,kr,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3501,Taizhou,China,28.6581723,121.4163876,"Taizhou, Zhejiang, China",,,,,,Taizhou,,Zhejiang,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3502,Yokosuka,Japan,35.2730564,139.6653829,"Yokosuka, 238-8550, Japan",,,,,238-8550,Yokosuka,,,,Kanagawa Prefecture,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3503,Pozzuoli,Italy,40.822643,14.1219109,"Pozzuoli, CAM, Italy",,,,,,Pozzuoli,NA,Campania,CAM,Napoli,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3504,Hamadan,Iran,34.7992888,48.5152464,"Central District, Hamedan, Hamadan Province, Iran",,,,Central District,,Hamedan,,Hamadan Province,,Hamedan County,Iran,ir,0.7714285714285714,0.7714285714285714,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3505,Umuahia,Nigeria,5.5324032,7.4924165,"Umuahia, Abia State, Nigeria",Umuahia,,,,,Umuahia,,Abia State,,Umuahia North,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3506,Tripolis,Greece,37.5102911,22.3724241,"221 00 Tripoli, Greece",Tripoli,,,,221 00,Tripoli,,"Peloponnese, Western Greece and the Ionian",,Arcadia Regional Unit,Greece,gr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3507,Owerri,Nigeria,5.489736,7.0341973,"Owerri 460281, Imo State, Nigeria",Owerri,,,,460281,Owerri,,Imo State,,Owerri Municipal,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3508,Al-Qubbah,Libya,32.7630561,22.2417527,"Al Qubbah, Derna, Libya",Al Qubbah,,,,,Al Qubbah,,Derna,,,Libya,ly,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3509,Hassan,India,13.0070817,76.0992703,"Hassan - 573201, KA, India",Hassan,,,,573201,Hassan,,Karnataka,KA,Hasana taluk,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3510,Sendenhorst,Germany,51.8444362,7.8273931,"48324 Sendenhorst, Germany",,,,,48324,Sendenhorst,,North Rhine-Westphalia,,Kreis Warendorf,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3511,Garmisch-Partenkirchen,Germany,47.4923741,11.0962815,"Garmisch-Partenkirchen, Bavaria, Germany",,,,,,Garmisch-Partenkirchen,,Bavaria,,Landkreis Garmisch-Partenkirchen,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3512,Landshut,Germany,48.536217,12.1516551,"Landshut, Bavaria, Germany",,,,,,Landshut,,Bavaria,,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3513,West Hartford,United States,41.7620447,-72.7420399,"West Hartford, CT, United States of America",,,,,,West Hartford,,Connecticut,CT,Capitol Planning Region,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3514,Davenport,United States,41.5235808,-90.5770967,"Davenport, IA, United States of America",,,,,,Davenport,,Iowa,IA,Scott County,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3515,Glastonbury,United States,41.7123218,-72.608146,"Glastonbury, CT, United States of America",,,,,,Glastonbury,,Connecticut,CT,Capitol Planning Region,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3516,Arak,Iran,34.0862719,49.6893884,"بخش مرکزی, Arak, Markazi Province, Iran",,,,بخش مرکزی,,Arak,,Markazi Province,,Arak County,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3517,Changji,China,26.9479238,108.7523209,"Changji, Guizhou, China",Changji,,,,,Changji,,Guizhou,,Sansui,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3518,Beaumnt,United States,39.71614,-96.999246,United States,United States,,,,,,,,,,United States,us,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
3519,Dhemaji,India,27.4763797,94.5629622,"Dhemaji - 787057, AS, India",Dhemaji,,,,787057,Dhemaji,,Assam,AS,Dhemaji,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3520,Nongde,China,31.4928,82.2515,"Nongde, Ali, China",Nongde,,,,,,,Tibet,,Ali,China,cn,1,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
3521,Karak,Jordan,31.1847222,35.7047218,"61110 Al Karak, Jordan",Al Karak,,,,61110,Al Karak,,Karak,,Karak Sub-District,Jordan,jo,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3522,Alicante,Spain,38.3436365,-0.4881708,"Alicante, Valencian Community, Spain",,,,,,Alicante,,Valencian Community,,Alacant / Alicante,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3523,Villeneuve Sous Dammartin,France,49.0348062,2.6395769,"77230 Villeneuve-sous-Dammartin, France",,,,,77230,Villeneuve-sous-Dammartin,,Ile-de-France,IDF,Seine-et-Marne,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3524,Shihezi,China,44.3017013,86.0775574,"Shihezi City, Xinjiang, China",,,,,,Shihezi City,,Xinjiang,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3525,Luoyang,China,34.6196539,112.4477046,"Luoyang, Henan, China",,,,,,Luoyang,,Henan,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3526,Topi,Pakistan,34.067924,72.6220803,"Topi, KP, Pakistan",Topi,,,,,Topi,,Khyber Pakhtunkhwa,KP,Swabi District,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3527,Brissago,Switzerland,46.1200663,8.7121456,"6614 Brissago, Switzerland",,,,,6614,Brissago,,Ticino,TI,Distretto di Locarno,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3528,Gwalior,India,26.2037247,78.1573628,"Gwalior - 474001, MP, India",Gwalior,,,,474001,Gwalior,,Madhya Pradesh,MP,Gird Tahsil,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3529,Krung Thep Maha Nakhon,Thailand,13.7,100.58333,"Tha Rua Krung Thep, Klong Toei Khwaeng, Bangkok, Sai Mai, Thailand",Tha Rua Krung Thep,,Klong Toei Khwaeng,,,Bangkok,,Bangkok,,Sai Mai,Thailand,th,0.3684210526315789,0.3684210526315789,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
3530,Grenzach-Wyhlen,Germany,47.5528548,7.6737981,"79639 Grenzach-Wyhlen, Germany",,,,,79639,Grenzach-Wyhlen,,Baden-Württemberg,BW,Landkreis Lörrach,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3531,Region Zealand,Denmark,55.4864453,11.691349261334938,"Region Zealand, Denmark",,,,,,,,Region Zealand,,,Denmark,dk,0.5,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3532,Kishiwada,Japan,34.4644,135.385237,"Kishiwada, Osaka Prefecture, Japan",,,,,,Kishiwada,,Osaka Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
