original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,street,suburb,name,county,county_code,postcode,state_code,city,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
500,,Malaysia,4.5693754,102.2656823,Malaysia,,,,,,,,,,,,Malaysia,my,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
501,Chengdu,China,30.6598628,104.0633717,"Chengdu, Sichuan, China",,,,,,,,,,Chengdu,Sichuan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
502,Hangzhou,China,30.2489634,120.2052342,"Hangzhou City, Zhejiang, China",,,,,,,,,,Hangzhou City,Zhejiang,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
503,Shanghai,China,31.2323437,121.4691024,"200001 Shanghai, China",,,,,Shanghai,,,200001,,Shanghai,Shanghai,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
504,Billerica,United States,42.5584264,-71.268947,"Billerica, MA, United States of America",,,,,,Middlesex County,,,MA,Billerica,Massachusetts,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,University Park,United States,41.4400344,-87.683377,"University Park, IL, United States of America",,,,,,Will County,,,IL,University Park,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
506,Granada,Spain,37.1734995,-3.5995337,"Granada, Andalusia, Spain",,,,,,Comarca de la Vega de Granada,GR,,,Granada,Andalusia,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
507,Veszprem,Hungary,47.0933824,17.9080406,"Veszprém, Central Transdanubia, Hungary",,,,,,Veszprém,,,,Veszprém,Central Transdanubia,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
508,,Taiwan,23.9739374,120.9820179,Taiwan,,,,,,,,,,,,Taiwan,tw,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
509,Charlotte,United States,35.2272086,-80.8430827,"Charlotte, NC, United States of America",,,,,,Mecklenburg County,,,NC,Charlotte,North Carolina,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
510,Quetta,Pakistan,30.1957677,67.0172447,"Quetta City Tehsil, BA, Pakistan",,,,,,Quetta District,,,BA,Quetta City Tehsil,Balochistan,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
511,Mianyang,China,31.4602714,104.7160723,"Mianyang, Sichuan, China",,,,,,,,,,Mianyang,Sichuan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
512,Londrina,Brazil,-23.3112878,-51.1595023,"Londrina, PR, Brazil",,,,,,Região Geográfica Intermediária de Londrina,,,PR,Londrina,Paraná,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
513,Cape Town,South Africa,-33.928992,18.417396,"Cape Town, 8001, South Africa",,,,,Cape Town,City of Cape Town,,8001,WC,Cape Town,Western Cape,South Africa,za,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
514,Orange,United States,33.7872568,-117.850308,"Orange, CA, United States of America",,,,,,Orange County,,,CA,Orange,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
515,Irvine,United States,33.6856969,-117.825981,"Irvine, CA, United States of America",,,,,,Orange County,,,CA,Irvine,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
516,Chatenay-Malabry,France,48.7670404,2.2775316,"92290 Châtenay-Malabry, France",,,,,,Hauts-de-Seine,,92290,IDF,Châtenay-Malabry,Ile-de-France,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
517,Rennes,France,48.1113387,-1.6800198,"Rennes, BRE, France",,,,,,Ille-et-Vilaine,,,BRE,Rennes,Brittany,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
518,Thanh Xuan,Viet Nam,14.5011428,109.0854902,"Thanh Xuân (Thanh Xuân), Bình Định Province, Vietnam",,,,,Thanh Xuân,Hoai Nhon,,,,Thanh Xuân,Bình Định Province,Vietnam,vn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
519,Santiago de Compostela,Spain,42.8804219,-8.5458608,"15705 Santiago de Compostela, Spain",,,,,Santiago de Compostela,Santiago,,15705,GA,Santiago de Compostela,Galicia,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
