id,title,aggregation_type,subtype,cited_by_cnt,publication_name,publisher,volume,coverDate,surname,given_name,affiliation
SCOPUS_ID:85186955255,Perspectives on label-free microscopy of heterogeneous and dynamic biological systems,Journal,Article,0,Journal of biomedical optics,,29,2025-12-01,Pham,Dan L.,"[{'affilname': 'UW-Madison College of Engineering', 'affiliation-city': 'Madison', 'affiliation-country': 'United States'}, {'affilname': 'Morgridge Institute for Research', 'affiliation-city': 'Madison', 'affiliation-country': 'United States'}]"
SCOPUS_ID:85190151285,Reaction kinetics of CO2 capture into AMP/PZ/DME solid-liquid biphasic solvent,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Chen,Xiaoyun,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85190117578,Humic-like components in dissolved organic matter inhibit cadmium sequestration by sediment,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Li,Bolin,"[{'affilname': 'Hunan University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'affilname': 'Hunan Normal University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}]"
SCOPUS_ID:85190088210,Advancing antibiotic detection and degradation: recent innovations in graphitic carbon nitride (g-C3N4) applications,Journal,Review,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Liu,Rui,"[{'affilname': 'Harbin Institute of Technology', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}, {'affilname': 'Harbin University of Commerce', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}, {'affilname': 'Universitat de Barcelona', 'affiliation-city': 'Barcelona', 'affiliation-country': 'Spain'}, {'affilname': 'Heilongjiang Academy of Sciences', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189935658,"Occurrence and potential risks of organophosphate esters in agricultural soils: A case study of Fuzhou City, Southeast China",Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Wang,Tao,"[{'affilname': 'Southern University of Science and Technology', 'affiliation-city': 'Shenzhen', 'affiliation-country': 'China'}, {'affilname': 'Fujian Normal University', 'affiliation-city': 'Fuzhou', 'affiliation-country': 'China'}, {'affilname': 'Fuzhou University', 'affiliation-city': 'Fuzhou', 'affiliation-country': 'China'}, {'affilname': 'Peking University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189934204,Inhibition mechanisms of perchlorate on the photosynthesis of cyanobacterium Synechocystis sp. PCC6803: Insights from physiology and transcriptome analysis,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Zhang,Xianyuan,"[{'affilname': 'Wuhan University', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Institute of Hydrobiology, Chinese Academy of Sciences', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'affilname': 'Tibet University', 'affiliation-city': 'Lhasa', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189931546,Efficiency and mechanism of controlling phosphorus release from sediment using a biological aluminum-based P-inactivation agent,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Chen,Changxiong,"[{'affilname': 'Huaqiao University', 'affiliation-city': 'Quanzhou', 'affiliation-country': 'China'}, {'affilname': 'Xiamen Research Academy of Environmental Science', 'affiliation-city': 'Xiamen', 'affiliation-country': 'China'}, {'affilname': 'Zhejiang Tongji Vocational College of Science and Technology', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189861343,Cd/Pb behavior during combustion in a coal-fired power plant and their spatiotemporal impacts on soils: New insights from Cd/Pb isotopes,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Xia,Yafei,"[{'affilname': 'State Key Lab for Geological Processes and Mineral Resources', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Guangdong Institute of Eco-Environment and Soil Science', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}, {'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Institute of Geochemistry Chinese Academy of Sciences', 'affiliation-city': 'Guiyang', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189860409,Determination of persulfate based on the principle of the oxidation of chloride ion,Journal,Article,1,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Duan,Yutong,"[{'affilname': 'China University of Mining &amp; Technology, Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Research Center for Eco-Environmental Sciences Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189752910,A screening model for predicting the potential of soil colloids-enhanced leaching of hydrophobic organic contaminants to groundwater at contaminated sites,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Duan,Lin,"['affilname', 'affiliation-city', 'affiliation-country']"
