,affiliation-city,affiliation-country
1500,Temple City,United States
1501,Caldes de Montbui,Spain
1502,Ciudad Victoria,Mexico
1503,Charlottetown,Canada
1504,Bradford,United Kingdom
1505,Toyota,Japan
1506,Yenchao,Taiwan
1507,Alexandria,Egypt
1508,Asyut,Egypt
1509,Behshahr,Iran
1510,Batticoloa,Sri Lanka
1511,Kayseri,Turkey
1512,Yozgat,Turkey
1513,Punjab,India
1514,California,United States
1515,Morelia,Mexico
1516,Pachuca,Mexico
1517,Tuxtla Gutierrez,Mexico
1518,Houghton,United States
1519,Los Alamos,United States
1520,Jiaxing,China
1521,Aarau,Switzerland
1522,Khannayao,Thailand
1523,Marshfield,United States
1524,Trondheim,Norway
1525,Kiriat Ono,Israel
1526,Zhytomyr,Ukraine
1527,Gaza,Palestine
1528,Skopje,North Macedonia
1529,Tartu,Estonia
1530,Cholula,Mexico
1531,Naukka,Nigeria
1532,Olsztyn WM,Poland
1533,Kyiv,Ukraine
1534,Bielefeld,Germany
1535,Temuco,Chile
1536,Kofu,Japan
1537,Pocatello,United States
1538,Rethymnon,Greece
1539,La Paz,Bolivia
1540,Tuscaloosa Northport,United States
1541,,Greece
1542,Tifton,United States
1543,Tbilisi,United States
1544,Ayudhya,Thailand
1545,Sunderland,United Kingdom
1546,Mbale,Uganda
1547,Dammam,Saudi Arabia
1548,Semenyih,Malaysia
1549,Birjand,Iran
1550,West Roxbury,United States
1551,Macquarie Park,Australia
1552,Winston Salem,United States
1553,Danderyd,Sweden
1554,Taipa,Macao
1555,Chicoutimi-Jonquiere,Canada
1556,Florianopolis,Brazil
1557,Winnipeg,Canada
1558,Asahikawa,Japan
1559,Izumo,Japan
1560,Brest,France
1561,Ramat Gan,Israel
1562,Oberwil-Zug,Switzerland
1563,Dgo,Mexico
1564,Sabah,Malaysia
1565,Guildford,United Kingdom
1566,Birmingham,United States
1567,Vicenza,Italy
1568,Dundee,United Kingdom
1569,Brasilia,Brazil
1570,Dasmarinas,Philippines
1571,Pasig,Philippines
1572,Xinyang,China
1573,Sanandaj,Iran
1574,Battambang,Cambodia
1575,Lalitpur,Nepal
1576,"Washington, D.C.",Kyrgyzstan
1577,Dehradun,India
1578,Mondragon,Spain
1579,Levanger,Norway
1580,Liberec,Czech Republic
1581,Buraidah,Saudi Arabia
1582,Villavicencio,Colombia
1583,Murcia,Spain
1584,Armilla,Spain
1585,Los Banos,Philippines
1586,Campus,Pakistan
1587,Szczecin,Poland
1588,Conwy,United Kingdom
1589,Nashua,United States
1590,Crete,Greece
1591,Farmington,United States
1592,Novato,United States
1593,Muharraq,Bahrain
1594,Wolverhampton,United Kingdom
1595,Mahasarakham,Thailand
1596,Akure,Nigeria
1597,Ibadan,Nigeria
1598,Ubonratchathani,Thailand
1599,Morioka,Japan
1600,Al Ahmadi,Kuwait
1601,Gurusar Sadhar,India
