original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,street,postcode,county_code,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
1000,Nancy,France,48.6937223,6.1834097,"Nancy, GES, France",,,,,,,Nancy,Meurthe-et-Moselle,Grand Est,GES,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1001,Kansas City,United States,39.100105,-94.5781416,"Kansas City, MO, United States of America",,,,,,,Kansas City,Jackson County,Missouri,MO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1002,Baku,Azerbaijan,40.3755885,49.8328009,"Baku, Baku Ekonomic Zone, Azerbaijan",Baku,,,,,,Baku,,Baku Ekonomic Zone,,Azerbaijan,az,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1003,Ruston,United States,32.5297498,-92.6386604,"Ruston, LA, United States of America",,,,,,,Ruston,Lincoln Parish,Louisiana,LA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1004,Bucharest,Romania,44.4361414,26.1027202,"Bucharest, Romania",,,,,,,Bucharest,,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1005,Rabat,Morocco,34.02236,-6.8340222,"Rabat, Rabat-Salé-Kénitra, Morocco",,,,,,,Rabat,باشوية الرباط,Rabat-Salé-Kénitra,,Morocco,ma,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1006,Clermont-Ferrand,France,45.7774551,3.0819427,"Clermont-Ferrand, ARA, France",,,,,,,Clermont-Ferrand,Puy-de-Dôme,Auvergne-Rhône-Alpes,ARA,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1007,Povo,Italy,46.0655017,11.154962,"38128 Povo (Trento), Italy",Povo,,38128,,,,Trento,Provincia di Trento,Trentino-Alto Adige/Südtirol,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1008,La Plata,Argentina,-34.9206797,-57.9537638,"La Plata, B, Argentina",,,,,,,La Plata,Partido de La Plata,Buenos Aires,B,Argentina,ar,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1009,Giresun,Turkey,40.9174453,38.3847864,"28100 Giresun District, Turkey",,,28100,,,,Giresun District,Giresun,Black Sea Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1010,Saint Martin d'Heres,France,45.1836683,5.75448,"38400 Saint-Martin-d'Hères, France",,,38400,,,,Saint-Martin-d'Hères,Isère,Auvergne-Rhône-Alpes,ARA,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1011,Nablus,Palestine,32.2280665,35.2370416,"Hyatt Nablus Resort, Tunis, +970 Nablus, Palestinian Territory",Hyatt Nablus Resort,Tunis,+970,,,Rafidia Al-Balad,Nablus,Area A,West Bank,,Palestinian Territory,ps,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1012,Albuquerque,United States,35.0841034,-106.650985,"Albuquerque, NM, United States of America",,,,,,,Albuquerque,Bernalillo County,New Mexico,NM,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1013,Dortmund,Germany,51.5142273,7.4652789,"Dortmund, North Rhine-Westphalia, Germany",,,,,,,Dortmund,,North Rhine-Westphalia,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1014,Marakech,Morocco,31.7172628,-7.9821192,"Mercedes dealer, RN9, 40063 Marrakesh Prefecture, Morocco",Mercedes dealer,RN9,40063,,cercle d'Al Ouidane,caïdat d’Ouahat Sidi Brahim,Marrakesh Prefecture,Marrakech,Marrakech-Safi,,Morocco,ma,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1015,Upton,United States,37.465323999999995,-85.90101475720013,"Upton, KY, United States of America",,,,,,,Upton,Hardin County,Kentucky,KY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1016,Sao Joao del Rei,Brazil,-21.1335755,-44.2588086,"São João del-Rei, MG, Brazil",,,,,,,São João del-Rei,Região Geográfica Intermediária de Juiz de Fora,Minas Gerais,MG,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1017,Stony Brook,United States,40.9256538,-73.140943,"Stony Brook, NY, United States of America",,,,,,,Stony Brook,Suffolk County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1018,Udine,Italy,46.0634632,13.2358377,"33100 Udine, Italy",,,33100,UD,,,Udine,Udine,Friuli-Venezia Giulia,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1019,Fribourg,Switzerland,46.8055656,7.1612669,"Fribourg - Freiburg, FR, Switzerland",,,,,,,Fribourg - Freiburg,Sarine District,Fribourg,FR,Switzerland,ch,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1020,Siegen,Germany,50.8749804,8.0227233,"Siegen, North Rhine-Westphalia, Germany",,,,,,,Siegen,Kreis Siegen-Wittgenstein,North Rhine-Westphalia,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1021,Brasov,Romania,45.6525105,25.6105654,"Brasov, Romania",,,,,,,Brasov,Brașov,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1022,Wuppertal,Germany,51.264018,7.1780374,"Wuppertal, North Rhine-Westphalia, Germany",,,,,,,Wuppertal,,North Rhine-Westphalia,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1023,Rende,Italy,39.3319934,16.1843828,"87036 Rende, Italy",,,87036,CS,,,Rende,Cosenza,Calabria,CAL,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1024,Birmingham,United Kingdom,52.4796992,-1.9026911,"Birmingham, ENG, United Kingdom",,,,,,,Birmingham,West Midlands Combined Authority,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1025,Chambery,France,45.5662672,5.9203636,"73000 Chambéry, France",,,73000,,,,Chambéry,Savoy,Auvergne-Rhône-Alpes,ARA,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1026,Hsinchu,Taiwan,24.8066333,120.9686833,"Hsinchu, Taiwan",,,,,,,Hsinchu,,,,Taiwan,tw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1027,Gaziantep,Turkey,37.0628317,37.3792617,"27010 Şahinbey (Gaziantep), Turkey",Gaziantep,,27010,,,,Gaziantep,Gaziantep,Southeastern Anatolia Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1028,Rehovot,Israel,31.8952532,34.8105616,"Rehovot, Center District, Israel",,,,,,,Rehovot,Rehovot Subdistrict,Center District,,Israel,il,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1029,Mytilene,Greece,39.1037355,26.554788,"811 00 Mytilene, Greece",Mytilene,,811 00,,,,Mytilene,Lesbos Regional Unit,Aegean,,Greece,gr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1030,Giessen,Germany,50.5862066,8.6742306,"Giessen, Hesse, Germany",,,,,,,Giessen,Landkreis Gießen,Hesse,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1031,Waltham,United States,42.3756401,-71.2358004,"Waltham, MA, United States of America",,,,,,,Waltham,Middlesex County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1032,Thessaloniki,Greece,40.6403167,22.9352716,"546 26 Thessaloniki, Greece",Thessaloniki,,546 26,,,,Thessaloniki,Thessaloniki Regional Unit,Macedonia and Thrace,,Greece,gr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1033,Iasi,Romania,47.1615598,27.5837814,"Iași, Romania",,,,,,,Iași,Iași,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1034,,Canada,61.0666922,-107.991707,Canada,,,,,,,,,,,Canada,ca,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1035,Oujda,Morocco,34.677874,-1.929306,"Oujda, Oriental, Morocco",,,,,,,Oujda,Pachalik d'Oujda باشوية وجدة,Oriental,,Morocco,ma,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1036,Eugene,United States,44.0505054,-123.0950506,"Eugene, OR, United States of America",,,,,,,Eugene,Lane County,Oregon,OR,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1037,DeKalb,United States,41.9298644,-88.7501925,"DeKalb, IL 60115, United States of America",,,60115,,,,DeKalb,DeKalb County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1038,Richardson,United States,32.9481789,-96.7297206,"Richardson, TX, United States of America",,,,,,,Richardson,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1039,Porto,Portugal,41.1494512,-8.6107884,"Porto, Portugal",,,,,,,Porto,Porto,,,Portugal,pt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1040,Valparaíso,Chile,-33.0458456,-71.6196749,"Valparaíso, Valparaiso Region, Chile",,,,,,,Valparaíso,Provincia de Valparaíso,Valparaiso Region,,Chile,cl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1041,Victoria,Canada,48.4283182,-123.3649533,"Victoria, BC, Canada",,,,,,,Victoria,Capital Regional District,British Columbia,BC,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1042,Fresno,United States,36.7394421,-119.78483,"Fresno, CA, United States of America",,,,,,,Fresno,Fresno County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1043,Juiz de Fora,Brazil,-21.7609533,-43.3501129,"Juiz de Fora, MG, Brazil",,,,,,,Juiz de Fora,Região Geográfica Intermediária de Juiz de Fora,Minas Gerais,MG,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1044,Timisoara,Romania,45.7538355,21.2257474,"Timișoara, Romania",,,,,,,Timișoara,Timiș,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
