original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,street,suburb,name,county_code,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
2500,Grand Rapids,United States,42.9632425,-85.6678639,"Grand Rapids, MI, United States of America",,,,,,,,Grand Rapids,Kent County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2501,Srinagar,India,34.0747444,74.8204443,"Srinagar - 190001, JK, India",,,,,Srinagar,,190001,Srinagar,Srinagar (South),Jammu and Kashmir,JK,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2502,Caen,France,49.1813403,-0.3635615,"14000 Caen, France",,,,,,,14000,Caen,Calvados,Normandy,NOR,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2503,Puducherry,India,11.9340568,79.8306447,"Puducherry - 605001, PY, India",,,,,Puducherry,,605001,Puducherry,Puducherry Taluk,Puducherry,PY,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2504,Homburg,Germany,49.3181673,7.3340336,"66424 Homburg, Germany",,,,,,,66424,Homburg,Saarpfalz-Kreis,Saarland,SL,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2505,Oldenburg,Germany,53.1389753,8.2146017,"Oldenburg, Lower Saxony, Germany",,,,,,,,Oldenburg,,Lower Saxony,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2506,Kashan,Iran,33.9876533,51.4428856,"Kashan Central District, Kashan, Isfahan Province, Iran",Kashan Central District,,,,,,,Kashan,Kashan County,Isfahan Province,,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2507,Plouzane,France,48.3817165,-4.6212044,"29280 Plouzané, France",,,,,,,29280,Plouzané,Finistère,Brittany,BRE,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2508,Tsu,Japan,34.7341973,136.5153283,"Tsu, Japan",,,,,,,,Tsu,Mie Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2509,Illkirch-Graffenstaden,France,48.5298611,7.7116218,"67400 Illkirch-Graffenstaden, France",,,,,,,67400,Illkirch-Graffenstaden,Bas-Rhin,Grand Est,GES,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2510,Ishikari District,Japan,43.23972,141.35389,"Ishikari, Hokkaido Prefecture, Japan",,,,,,,,Ishikari,Ishikari,Hokkaido Prefecture,,Japan,jp,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2511,Kyotanabe,Japan,34.8029175,135.760651,"Kyotanabe, Japan",,,,,,,,Kyotanabe,Kyoto Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2512,"Moncton, New Brunswick,",Canada,46.122573,-64.80427,"Moncton, NB, Canada",,,,,,,,Moncton,Westmorland,New Brunswick,NB,Canada,ca,0.33333333333333337,0.33333333333333337,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2513,Mount Pleasant,United States,43.597646,-84.7668495,"Mount Pleasant, MI, United States of America",,,,,,,,Mount Pleasant,Isabella County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2514,Daedok-gu,South Korea,36.382192,128.123988,South Korea,,,,,South Korea,,,,,,,South Korea,kr,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2515,Toledo,Spain,39.8560679,-4.0239568,"Toledo, Castile-La Mancha, Spain",,,,,,TO,,Toledo,Toledo,Castile-La Mancha,,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2516,Thousand Oaks,United States,34.1705609,-118.8375937,"Thousand Oaks, CA, United States of America",,,,,,,,Thousand Oaks,Ventura County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2517,Kerala,India,21.21001,72.035358,"Kerala, GJ, India",,,,,,,,Kerala,Bhavnagar,Gujarat,GJ,India,in,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2518,Roanoke,United States,37.270973,-79.9414313,"Roanoke, VA, United States of America",,,,,,,,Roanoke,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2519,Southfield,United States,42.4733689,-83.2218731,"Southfield, MI, United States of America",,,,,,,,Southfield,Oakland County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2520,Ariano Irpino,Italy,41.1526668,15.0885633,"83031 Ariano Irpino, Italy",,,,,,AV,83031,Ariano Irpino,Avellino,Campania,CAM,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2521,Luzhou,China,28.8744722,105.4385063,"Jiangyang District, Luzhou, Sichuan, China",Jiangyang District,,,,Luzhou,,646000,Luzhou,,Sichuan,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2522,Toon,Japan,33.7908821,132.8718965,"Toon, 791-0211, Japan",,,,,,,791-0211,Toon,Ehime Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2523,Limoges,France,45.8354243,1.2644847,"Limoges, NAQ, France",,,,,,,,Limoges,Haute-Vienne,Nouvelle-Aquitaine,NAQ,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2524,Bosisio Parini,Italy,45.80228,9.290743,"23842 Bosisio Parini, Italy",,,,,,LC,23842,Bosisio Parini,Lecco,Lombardy,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
