original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,street,name,county_code,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
4000,Enshi,China,30.2974854,109.4746431,"Enshi, 445000 Hubei, China",,,Enshi,,,,445000,Enshi,Enshi,Hubei,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4001,Lankaran,Azerbaijan,38.7537311,48.8539286,"4200 Lankaran, Azerbaijan",,,,,,,4200,Lankaran,,Lankaran-Astara,Azerbaijan,az,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4002,Ostrava-Poruba,Czech Republic,49.81240745,18.151301588901767,"ctPark Ostrava - Poruba, Poruba, Ostrava, Moravskoslezský kraj, Czechia",,,ctPark Ostrava - Poruba,,Poruba,,,Ostrava,Moravskoslezský kraj,Moravia-Silesia,Czechia,cz,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4003,Chuzhou,China,32.3027377,118.3139455,"Chuzhou, Anhui, China",,,,,,,,Chuzhou,,Anhui,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4004,Siping,China,29.1961181,103.1494543,"Siping (Siping), Sichuan, China",,,Siping,,,,,Siping,Ebian Yi Autonomous County,Sichuan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4005,Kuala Langat,Malaysia,2.8365619,101.4961821,"Kuala Langat, Selangor, Malaysia",Kuala Langat,,,,,,,,,Selangor,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4006,Vaasa,Finland,63.0957722,21.6159187,"Vaasa, Mainland Finland, Finland",,,,,,,,Vaasa,Ostrobothnia,Mainland Finland,Finland,fi,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4007,BROOKLYN,United States,41.7286464,-92.4455938,"Brooklyn, IA, United States of America",,,,,,IA,,Brooklyn,Poweshiek County,Iowa,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4008,Leon,Montenegro,42.782845,19.157424,Montenegro,,,Montenegro,,,,,,,,Montenegro,me,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
4009,Nishiuwa,Japan,36.13793,138.441899,Japan,,,Japan,,,,,,,,Japan,jp,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
4010,Najafabad,Iran,32.6350743,51.3636804,"Najaf Abad, Isfahan Province, Iran",,,,,,,,Najaf Abad,Najafabad County,Isfahan Province,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4011,Lafia,Nigeria,8.483333,8.516667,"Lafia, Nasarawa State, Nigeria",,,Lafia,,,,,Lafia,,Nasarawa State,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4012,Oye-Ekiti,Nigeria,7.79976,5.33242,"Oye-Ekiti, EK, Nigeria",,,,,,EK,,Oye-Ekiti,Oye,Ekiti,Nigeria,ng,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
4013,Smithfield,United States,35.5111996,-78.346102,"Smithfield, NC, United States of America",,,,,,NC,,Smithfield,Johnston County,North Carolina,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4014,Jiaozuo,China,35.2075729,113.2533977,"Jiaozuo, 454000 Henan, China",,,Jiaozuo,,,,454000,Jiaozuo,,Henan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4015,Kottayam,India,9.591564,76.5221599,"Kottayam - 686001, KL, India",,,Kottayam,,,KL,686001,Kottayam,Kottayam,Kerala,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4016,Tralee,Ireland,52.2688257,-9.710929340995206,"Tralee Urban ED, County Kerry, Ireland",Tralee Urban ED,,,KY,,,,,County Kerry,Tralee Municipal District,Ireland,ie,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4017,Nawabshah,Pakistan,26.2452915,68.4040229,"Nawabshah, SD, Pakistan",,,Nawabshah,,,SD,,Nawabshah,Shaheed Benazirabad District,Sindh,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4018,Viganello,Switzerland,46.0133003,8.9674303,"Viganello, Lugano, TI, Switzerland",Circolo di Lugano est,,Viganello,,Viganello,TI,6962,Lugano,Distretto di Lugano,Ticino,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4019,Ouargla,Algeria,31.94467,5.320958,"Ouargla, Algeria",,,,,,,,Ouargla,Ouargla District,Ouargla,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4020,Bachok,Malaysia,6.0616322,102.4008505,"Bachok, Kelantan, Malaysia",Bachok,,Bachok,,,,16300,Bachok,,Kelantan,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4021,Al-Khobar,Saudi Arabia,26.3039999,50.1960237,"Al Khubar 34436, Saudi Arabia",,,Al Khubar,,,,34436,Al Khubar,Khobar Governorate,Eastern Province,Saudi Arabia,sa,0.75,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4022,Jiangxi,China,27.346253,110.2482991,"Jiangxi (Jiangxi), Hunan, China",,,Jiangxi,,,,,Jiangxi,Hongjiang,Hunan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4023,Emeryville,United States,37.8314089,-122.2865266,"Emeryville, CA 94608, United States of America",,,,,,CA,94608,Emeryville,Alameda County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4024,Forsinard,United Kingdom,58.3570281,-3.8980093,"Forsinard (Forsinard), KW13 6YT, United Kingdom",,,Forsinard,HLD,,SCT,KW13 6YT,Forsinard,Highland,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4025,Amberg,Germany,49.4454211,11.858728,"92224 Amberg, Germany",,,,,,,92224,Amberg,,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4026,Le Bouveret,Switzerland,46.382908,6.8540248,"1897 Le Bouveret (Port-Valais), Switzerland",,,Le Bouveret,,,,1897,Port-Valais,Monthey,Wallis,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4027,Charbagh,Pakistan,34.6269593,72.9857939,"Charbagh (Charbagh), KP, Pakistan",,,Charbagh,,,KP,,Charbagh,Battagram District,Khyber Pakhtunkhwa,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4028,Upper Dir,Pakistan,35.2080144,71.8779773,"Dir, KP, Pakistan",,,Dir,,,KP,,Dir,Upper Dir District,Khyber Pakhtunkhwa,Pakistan,pk,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4029,Karamay,China,45.5778068,84.8867252,"Karamay City, Xinjiang, China",,,,,,,,Karamay City,,Xinjiang,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4030,Wuhai,China,39.6533321,106.7893379,"Haibowan District, Wuhai, Inner Mongolia, China",Haibowan District,,Wuhai,,,,016000,Wuhai,,Inner Mongolia,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4031,Sao Luis,Brazil,-2.5295265,-44.2963942,"São Luís, MA, Brazil",,,,,,MA,,São Luís,Região Geográfica Intermediária de São Luís,Maranhão,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4032,Ilderton,Canada,43.0812001,-81.3751432,"Ilderton (Middlesex Centre), ON N0M 2A0, Canada",,,Ilderton,,,ON,N0M 2A0,Middlesex Centre,Middlesex County,Ontario,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4033,Albi,France,43.9277552,2.147899,"81000 Albi, France",,,,,,OCC,81000,Albi,Tarn,Occitania,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4034,Basovizza,Italy,45.641679,13.8632075,"34018 Basovizza / Bazovica (Trieste), Italy",,,Basovizza / Bazovica,TS,,,34018,Trieste,Trieste,Friuli-Venezia Giulia,Italy,it,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4035,Malibu,United States,34.035591,-118.689423,"Malibu, CA 90263, United States of America",,,,,,CA,90263,Malibu,Los Angeles County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4036,Rasipuram,India,11.461471,78.1854303,"Rasipuram, TN, India",,,Rasipuram,,,TN,,Rasipuram,Rasipuram,Tamil Nadu,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4037,Chiavari,Italy,44.3164494,9.3233382,"16043 Chiavari, Italy",,,,GE,,LIG,16043,Chiavari,Genoa,Liguria,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4038,Langfang,China,39.5302055,116.6926134,"Langfang, Hebei, China",,,,,,,,Langfang,,Hebei,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4039,Germantown,United States,38.5538072,-89.5382505,"Germantown, IL, United States of America",,,,,,IL,,Germantown,Clinton County,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4040,Bernal,Argentina,-34.716571,-58.2977925,"Bernal, B, Argentina",,,,,,B,,Bernal,Partido de Quilmes,Buenos Aires,Argentina,ar,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
